id,name,status,company_type,address,locality,postcode,website,source,search_term,postcode_area
05039208,PSLC (BY GUARANTEE) LTD,active,private-limited-guarant-nsc,"Pontefract Squash & Leisure Club, Stuart Road, Pontefract, West Yorkshire, England, WF8 4PQ",Pontefract,WF8 4PQ,https://find-and-update.company-information.service.gov.uk/company/05039208,Companies House,limited by guarantee,WF8
15324374,WEBGRANTS (BY GUARANTEE ) LTD,active,private-limited-guarant-nsc,"Southgate Business Centre, 32 Gillygate, Pontefract, United Kingdom, WF8 1PQ",Pontefract,WF8 1PQ,https://find-and-update.company-information.service.gov.uk/company/15324374,Companies House,limited by guarantee,WF8
12240659,AB TRAINING SOLUTIONS (BY GUARANTEE) LTD,dissolved,private-limited-guarant-nsc,"9 Northfield Drive, South Kirkby, Pontefract, England, WF9 3TD",Pontefract,WF9 3TD,https://find-and-update.company-information.service.gov.uk/company/12240659,Companies House,limited by guarantee,WF9
04946708,SPIRIT ACQUISITIONS GUARANTEE LIMITED,dissolved,private-limited-guarant-nsc,"Resolve Advisory Limited, 22 York Buildings, London, WC2N 6JU",London,WC2N 6JU,https://find-and-update.company-information.service.gov.uk/company/04946708,Companies House,limited by guarantee,WC2N
09912381,BEEL INTERCO GUARANTEE LTD.,dissolved,private-limited-guarant-nsc,"The Picasso Building, Caldervale Road, Wakefield, West Yorkshire, United Kingdom, WF1 5PF",Wakefield,WF1 5PF,https://find-and-update.company-information.service.gov.uk/company/09912381,Companies House,limited by guarantee,WF1
03034023,ROTHERHAM BOND GUARANTEE SCHEME LTD.,dissolved,private-limited-guarant-nsc,"The Guardian Centre, Drummond Street, Rotherham, South Yorkshire, S65 1HY",Rotherham,S65 1HY,https://find-and-update.company-information.service.gov.uk/company/03034023,Companies House,limited by guarantee,S65
06248338,VENICE GUARANTEECO LIMITED,dissolved,private-limited-guarant-nsc,"The Inspire, Hornbeam Square West, Harrogate, North Yorkshire, HG2 8PA",Harrogate,HG2 8PA,https://find-and-update.company-information.service.gov.uk/company/06248338,Companies House,limited by guarantee,HG2
08302589,FFREES FAMILY FINANCE (GUARANTEED) LIMITED,dissolved,private-limited-guarant-nsc,"Electric Works, Sheffield Digital Campus, Sheffield, S1 2BJ",Sheffield,S1 2BJ,https://find-and-update.company-information.service.gov.uk/company/08302589,Companies House,limited by guarantee,S1
06300269,CP GUARANTEE CO (UK) LIMITED,dissolved,private-limited-guarant-nsc,"Toronto Square, Toronto Street, Leeds, West Yorkshire, LS1 2HJ",Leeds,LS1 2HJ,https://find-and-update.company-information.service.gov.uk/company/06300269,Companies House,limited by guarantee,LS1
07280880,ECLIPSE NETWORK GUARANTEE LIMITED,dissolved,private-limited-guarant-nsc,"1100  Century Way, Thorpe Park Business Park Colton, Leeds, United Kingdom, LS15 8TU",Leeds,LS15 8TU,https://find-and-update.company-information.service.gov.uk/company/07280880,Companies House,limited by guarantee,LS15
05416393,TIBSHELF GUARANTEE CO LIMITED,dissolved,private-limited-guarant-nsc,"12  Holroyd Business Centre, Carrbottom Road, Bradford, West Yorkshire, BD5 9BP",Bradford,BD5 9BP,https://find-and-update.company-information.service.gov.uk/company/05416393,Companies House,limited by guarantee,BD5
